Name,Time,Category,Address,Latitude,Longitude,Description,Google_Maps_Link
【P4 停車場】新天鵝堡 (Parkplatz P4),2026-10-06 13:30 抵達,🅿️ 景點停車場,"Alpseestraße 27, 87645 Hohenschwangau, Germany",47.5539,10.7362,【10/6 13:30 前停妥】新天鵝堡首選停車場。離往瑪麗恩橋之接駁公車站僅步行 2 分鐘，收費 €12/6小時。停妥後搭接駁公車至瑪麗恩橋拍照，再散步至大門參加 14:55 英文導覽。下山後可順遊阿爾卑斯湖 (Alpsee)。,"https://www.google.com/maps/place/Parkplatz+P4/@47.5539,10.7362,17z"
【著名景點/世界遺產】維斯朝聖教堂 (Wieskirche),2026-10-07 09:40 - 10:20,⭐ 觀光景點,"Wies 12, 86989 Steingaden, Germany",47.6806,10.9008,【著名景點 / 世界文化遺產】阿爾卑斯大道最璀璨的洛可可奇蹟。外觀被群山與高山草甸牛群環繞，內部為金碧輝煌的洛可可壁畫雕刻。停放在專屬 Parkplatz Wieskirche（前 2 小時 €2.00），停留約 30-40 分鐘。,"https://www.google.com/maps/place/Wieskirche/@47.6806,10.9008,17z"
【高山湖泊/著名景點】瓦爾興湖・赫爾佐格纜車湖畔大停車場 (Parkplatz Herzogstandbahn),2026-10-07 11:00 - 11:30,⭐ 觀光景點,"Am Tanneneck 6, 82432 Kochel am See, Germany",47.596,11.317,【著名景點 / 瓦爾興湖最佳湖畔停靠點】被譽為「巴伐利亞馬爾地夫/加勒比海」的純淨翡翠碧湖。停泊於赫爾佐格峰纜車站專屬大停車場（車位極多、平價好停）。下車即可步上大片綠茵湖濱公園 (Seepromenade)，以最開闊的全景視野眺望廣袤翡翠藍水面與對岸 Jochberg 阿爾卑斯群山，湖畔設有長椅與漫步木棧道，停留約 20-30 分鐘。,"https://www.google.com/maps/place/Parkplatz+Herzogstandbahn/@47.5960,11.3170,17z"
【基姆湖停車場】Prien Hafen Stock S1,2026-10-07 12:15 - 13:45,🅿️ 景點停車場,"Seestraße 118, 83209 Prien am Chiemsee, Germany",47.8596,12.3664,【10/7 中午停放】基姆湖普林港口碼頭 S1 超大型專屬停車場（容量極大、好停車，單日僅約 €6.50）。停好車走至港口湖畔享用午餐（推薦基姆湖白鮭）、欣賞大渡輪與百年蒸汽火車。,"https://www.google.com/maps/place/Parkplatz+Hafen+Stock+S1/@47.8596,12.3664,17z"
【超充站】Tesla Supercharger Bernau am Chiemsee,2026-10-07 12:00 (可選中繼補電),⚡ Tesla 超充站,"Theodor-Sanne-Straße 4, 83233 Bernau am Chiemsee, Germany",47.8105,12.3694,【10/7 基姆湖超充站】位於 A8 高速公路交流道旁，配備 8 樁 250kW V3/V4 超充樁，旁邊有休息站、Shell 與速食店，補電 15-20 分鐘即可直達薩爾斯堡。,"https://www.google.com/maps/place/Tesla+Supercharger+Bernau+am+Chiemsee/@47.8105,12.3694,17z"
【薩爾斯堡停車場】H+ Hotel 地下停車場 (Tiefgarage Hauptbahnhof),2026-10-07 14:45 - 15:00 抵達停妥,🅿️ 景點停車場,"Südtiroler Pl. 13, 5020 Salzburg, Austria",47.8136,13.0453,【10/7 15:00 前停妥】已訂飯店 H+ Hotel Salzburg 直通之地下停車場 (Tiefgarage Hauptbahnhof / Forum 1)。車停好後搭電梯直達飯店大廳 Check-in 放行李，完全免開車進老城徒步區。步行穿過米拉貝爾花園或搭無軌電車直達老城要塞。,"https://www.google.com/maps/place/H%2B+Hotel+Salzburg/@47.8136,13.0453,17z"
【著名景點/皇家小鎮】巴德伊舍 & 皇家甜點店 (Bad Ischl - Café Zauner),2026-10-08 10:45 - 11:30,⭐ 觀光景點,"Auböckplatz 5, 4820 Bad Ischl, Austria",47.7118,13.6234,【10/8 上午停靠】哈布斯堡皇家避暑溫泉小鎮，西西公主與奧匈帝國皇帝相遇訂婚之地。停放在市中心停車場 (Parkplatz Zentrum/Kurhaus)，步行至百年皇家御用甜點店 Café Zauner 喝維也納米朗琪咖啡、品嚐經典榛果雪茄蛋糕，漫步特勞恩河畔。,"https://www.google.com/maps/place/Caf%C3%A9+Zauner/@47.7118,13.6234,17z"
【達赫斯坦纜車停車場】Dachstein Krippenstein Seilbahn Talstation,2026-10-08 12:45 前停妥,🅿️ 景點停車場,"Winkl 34, 4831 Obertraun, Austria",47.5337,13.7058,【10/8 12:45 前停妥】達赫斯坦山 (Dachstein Krippenstein) 纜車下站大停車場。車牌辨識系統，單日 €5.00。先在此或山下輕裝吃午餐，12:55 拿好厚外套毛帽手套，13:00 刷票搭纜車至巨型冰洞與五指觀景台。,"https://www.google.com/maps/place/Dachstein+Krippenstein-Seilbahn+Talstation/@47.5337,13.7058,17z"
【魔法森林/辛特湖停車場】Parkplatz Seeklause (P1),2026-10-09 13:30 - 16:30,🅿️ 景點停車場,"Hinterseer Str. 104, 83486 Ramsau bei Berchtesgaden, Germany",47.6044,12.8585,【10/9 13:30 前停妥】辛特湖 (Hintersee) 與魔法森林 (Zauberwald) 最佳專屬停車場【Parkplatz Seeklause (P1)】。緊鄰湖泊出水口閘門 (Seeklause) 與魔法森林步道起點。停好車直接步入魔法森林享受溪流巨石芬多精，並串聯辛特湖環湖木棧道。收費約 €5-€7。,"https://www.google.com/maps/place/Parkplatz+Seeklause/@47.6044,12.8585,17z"
【著名景點/明信片教堂】拉姆紹教堂 (Pfarrkirche St. Sebastian Ramsau),2026-10-09 16:45 - 17:15,⭐ 觀光景點,"Im Tal 82, 83486 Ramsau bei Berchtesgaden, Germany",47.6075,12.8943,【著名景點 / 德國明信片常客】德國阿爾卑斯最具代表性的木造尖頂小教堂與小木橋溪流，背倚雪山岩壁。回程順路臨停 15-20 分鐘拍照。,"https://www.google.com/maps/place/Pfarrkirche+St.+Sebastian/@47.6075,12.8943,17z"
